,gH2AX_foci,pRPA_foci,RAD51_foci
U54-TMA-9_sceneE06_cell1313.0,,0.0,
U54-TMA-9_sceneE06_cell1319.0,,0.0,
U54-TMA-9_sceneE06_cell1320.0,,0.0,
U54-TMA-9_sceneE06_cell1356.0,,0.0,
U54-TMA-9_sceneE06_cell1359.0,,0.0,
U54-TMA-9_sceneE06_cell1378.0,,0.0,
U54-TMA-9_sceneE06_cell1411.0,,0.0,
U54-TMA-9_sceneE06_cell1451.0,,0.0,
U54-TMA-9_sceneE06_cell1455.0,,0.0,
U54-TMA-9_sceneE06_cell1457.0,,0.0,
U54-TMA-9_sceneE06_cell1507.0,0.0,,
U54-TMA-9_sceneE06_cell1509.0,,0.0,
U54-TMA-9_sceneE06_cell1524.0,,0.0,
U54-TMA-9_sceneE06_cell1532.0,,0.0,
U54-TMA-9_sceneE06_cell1540.0,,0.0,
U54-TMA-9_sceneE06_cell1550.0,1.0,,
U54-TMA-9_sceneE06_cell1557.0,,0.0,
U54-TMA-9_sceneE06_cell1569.0,,0.0,
U54-TMA-9_sceneE06_cell1577.0,,0.0,
U54-TMA-9_sceneE06_cell1610.0,,0.0,
U54-TMA-9_sceneE06_cell1611.0,,0.0,
U54-TMA-9_sceneE06_cell1635.0,1.0,,
U54-TMA-9_sceneE06_cell1638.0,,0.0,
U54-TMA-9_sceneE06_cell1658.0,,1.0,
U54-TMA-9_sceneE06_cell1679.0,1.0,,
U54-TMA-9_sceneE06_cell1685.0,1.0,,
U54-TMA-9_sceneE06_cell1746.0,,0.0,
U54-TMA-9_sceneE06_cell1747.0,,0.0,
U54-TMA-9_sceneE06_cell1755.0,,0.0,
U54-TMA-9_sceneE06_cell1762.0,2.0,,
U54-TMA-9_sceneE06_cell1776.0,,0.0,
U54-TMA-9_sceneE06_cell1808.0,,0.0,
U54-TMA-9_sceneE06_cell1831.0,,0.0,
U54-TMA-9_sceneE06_cell1926.0,,0.0,
U54-TMA-9_sceneE06_cell1946.0,,0.0,
U54-TMA-9_sceneE06_cell1960.0,,0.0,
U54-TMA-9_sceneE06_cell1977.0,1.0,,
U54-TMA-9_sceneE06_cell1989.0,,0.0,
U54-TMA-9_sceneE06_cell1995.0,,0.0,0.0
U54-TMA-9_sceneE06_cell1998.0,,0.0,
U54-TMA-9_sceneE06_cell2009.0,,0.0,
U54-TMA-9_sceneE06_cell2016.0,,0.0,
U54-TMA-9_sceneE06_cell2031.0,,0.0,
U54-TMA-9_sceneE06_cell2068.0,,,0.0
U54-TMA-9_sceneE06_cell2080.0,1.0,,
U54-TMA-9_sceneE06_cell2083.0,2.0,,
U54-TMA-9_sceneE06_cell2125.0,2.0,,
U54-TMA-9_sceneE06_cell2129.0,,,0.0
U54-TMA-9_sceneE06_cell2216.0,,0.0,
U54-TMA-9_sceneE06_cell2223.0,,0.0,
U54-TMA-9_sceneE06_cell2243.0,,0.0,
U54-TMA-9_sceneE06_cell2260.0,,0.0,
U54-TMA-9_sceneE06_cell2263.0,,1.0,
U54-TMA-9_sceneE06_cell2284.0,,0.0,
U54-TMA-9_sceneE06_cell2291.0,,0.0,
U54-TMA-9_sceneE06_cell2313.0,,0.0,
U54-TMA-9_sceneE06_cell2324.0,,0.0,
U54-TMA-9_sceneE06_cell2358.0,,0.0,
U54-TMA-9_sceneE06_cell2367.0,,1.0,
U54-TMA-9_sceneE06_cell2377.0,,0.0,
U54-TMA-9_sceneE06_cell2431.0,,0.0,
U54-TMA-9_sceneE06_cell2474.0,0.0,,
U54-TMA-9_sceneE06_cell2480.0,,0.0,
U54-TMA-9_sceneE06_cell2486.0,,1.0,
U54-TMA-9_sceneE06_cell2531.0,,0.0,
U54-TMA-9_sceneE06_cell2551.0,0.0,,
U54-TMA-9_sceneE06_cell2560.0,,0.0,
U54-TMA-9_sceneE06_cell2600.0,,0.0,
U54-TMA-9_sceneE06_cell2614.0,,0.0,
U54-TMA-9_sceneE06_cell2650.0,,0.0,
U54-TMA-9_sceneE06_cell2710.0,,1.0,
U54-TMA-9_sceneE06_cell2711.0,,0.0,
U54-TMA-9_sceneE06_cell2770.0,,0.0,
U54-TMA-9_sceneE06_cell2798.0,,0.0,
U54-TMA-9_sceneE06_cell2809.0,,0.0,
U54-TMA-9_sceneE06_cell2882.0,,0.0,
U54-TMA-9_sceneE06_cell2935.0,,0.0,
U54-TMA-9_sceneE06_cell2962.0,,0.0,
U54-TMA-9_sceneE06_cell2985.0,,0.0,
U54-TMA-9_sceneE06_cell3208.0,,0.0,
U54-TMA-9_sceneE06_cell3232.0,,0.0,
U54-TMA-9_sceneE06_cell3252.0,,0.0,
U54-TMA-9_sceneE06_cell3319.0,,0.0,
U54-TMA-9_sceneE06_cell3344.0,,0.0,
U54-TMA-9_sceneE06_cell3349.0,,0.0,
U54-TMA-9_sceneE06_cell3362.0,,0.0,
U54-TMA-9_sceneE06_cell3398.0,,0.0,
U54-TMA-9_sceneE06_cell3454.0,,0.0,
U54-TMA-9_sceneE06_cell3458.0,,0.0,
U54-TMA-9_sceneE06_cell3471.0,,0.0,
U54-TMA-9_sceneE06_cell3517.0,,0.0,
U54-TMA-9_sceneE06_cell3570.0,,0.0,
U54-TMA-9_sceneE06_cell3619.0,,0.0,
U54-TMA-9_sceneE06_cell3635.0,,0.0,
U54-TMA-9_sceneE06_cell3661.0,,0.0,
U54-TMA-9_sceneE06_cell3674.0,,0.0,
U54-TMA-9_sceneE06_cell3709.0,,0.0,
U54-TMA-9_sceneE06_cell3751.0,,0.0,
U54-TMA-9_sceneE06_cell3760.0,,,0.0
U54-TMA-9_sceneE06_cell3819.0,,0.0,
U54-TMA-9_sceneE06_cell3834.0,,0.0,
U54-TMA-9_sceneE06_cell3839.0,,0.0,
U54-TMA-9_sceneE06_cell3890.0,,0.0,
U54-TMA-9_sceneE06_cell3924.0,,0.0,
U54-TMA-9_sceneE06_cell3932.0,1.0,,
U54-TMA-9_sceneE06_cell3987.0,,0.0,
U54-TMA-9_sceneE06_cell3991.0,,,0.0
U54-TMA-9_sceneE06_cell4087.0,,,0.0
U54-TMA-9_sceneE06_cell4116.0,,,0.0
U54-TMA-9_sceneE06_cell4408.0,,,0.0
U54-TMA-9_sceneE06_cell4725.0,0.0,,
U54-TMA-9_sceneE06_cell4743.0,,,0.0
U54-TMA-9_sceneE06_cell4797.0,2.0,,
U54-TMA-9_sceneE06_cell4909.0,,0.0,
U54-TMA-9_sceneE06_cell4918.0,,0.0,
U54-TMA-9_sceneE06_cell4939.0,,0.0,
U54-TMA-9_sceneE06_cell4952.0,,0.0,
U54-TMA-9_sceneE06_cell5018.0,,0.0,
U54-TMA-9_sceneE06_cell5049.0,3.0,,
U54-TMA-9_sceneE06_cell5251.0,,0.0,
U54-TMA-9_sceneE06_cell5333.0,2.0,,
U54-TMA-9_sceneE06_cell5353.0,1.0,,
U54-TMA-9_sceneE06_cell5364.0,1.0,,
U54-TMA-9_sceneE06_cell5385.0,2.0,,
U54-TMA-9_sceneE06_cell5394.0,0.0,,
U54-TMA-9_sceneE06_cell5408.0,,0.0,
U54-TMA-9_sceneE06_cell5423.0,,0.0,
U54-TMA-9_sceneE06_cell5454.0,,0.0,
U54-TMA-9_sceneE06_cell5476.0,0.0,,
U54-TMA-9_sceneE06_cell5792.0,1.0,,
U54-TMA-9_sceneE06_cell6155.0,,,0.0
U54-TMA-9_sceneE06_cell6215.0,0.0,,
U54-TMA-9_sceneE06_cell7162.0,0.0,,
U54-TMA-9_sceneE06_cell7177.0,0.0,,
U54-TMA-9_sceneE06_cell7252.0,1.0,,
U54-TMA-9_sceneE06_cell7260.0,,0.0,
U54-TMA-9_sceneE06_cell7269.0,,0.0,
U54-TMA-9_sceneE06_cell7296.0,2.0,,
U54-TMA-9_sceneE06_cell7331.0,1.0,,
U54-TMA-9_sceneE06_cell7349.0,,0.0,
U54-TMA-9_sceneE06_cell7356.0,1.0,,
U54-TMA-9_sceneE06_cell7403.0,,0.0,
U54-TMA-9_sceneE06_cell7525.0,1.0,,
U54-TMA-9_sceneE06_cell7574.0,,0.0,
U54-TMA-9_sceneE06_cell7577.0,,0.0,
U54-TMA-9_sceneE06_cell7579.0,,0.0,
U54-TMA-9_sceneE06_cell7581.0,,0.0,
U54-TMA-9_sceneE06_cell7596.0,,0.0,
U54-TMA-9_sceneE06_cell7637.0,,0.0,
U54-TMA-9_sceneE06_cell7669.0,,0.0,
U54-TMA-9_sceneE06_cell7676.0,,0.0,
U54-TMA-9_sceneE06_cell7677.0,,0.0,
U54-TMA-9_sceneE06_cell7678.0,,0.0,
U54-TMA-9_sceneE06_cell7682.0,,0.0,
U54-TMA-9_sceneE06_cell7690.0,2.0,,
U54-TMA-9_sceneE06_cell7706.0,,0.0,
U54-TMA-9_sceneE06_cell7748.0,,0.0,
U54-TMA-9_sceneE06_cell7756.0,,0.0,
U54-TMA-9_sceneE06_cell7758.0,,0.0,
U54-TMA-9_sceneE06_cell7768.0,2.0,,
U54-TMA-9_sceneE06_cell7769.0,,1.0,
U54-TMA-9_sceneE06_cell7770.0,,0.0,
U54-TMA-9_sceneE06_cell7773.0,,0.0,
U54-TMA-9_sceneE06_cell7780.0,,0.0,
U54-TMA-9_sceneE06_cell7809.0,,1.0,
U54-TMA-9_sceneE06_cell7811.0,,0.0,
U54-TMA-9_sceneE06_cell7815.0,,0.0,
U54-TMA-9_sceneE06_cell7817.0,,0.0,
U54-TMA-9_sceneE06_cell7824.0,,0.0,
U54-TMA-9_sceneE06_cell7829.0,,2.0,
U54-TMA-9_sceneE06_cell7831.0,,0.0,
U54-TMA-9_sceneE06_cell7946.0,,0.0,
U54-TMA-9_sceneE06_cell7947.0,,0.0,
U54-TMA-9_sceneE06_cell7984.0,0.0,,
U54-TMA-9_sceneE07_cell166.0,1.0,,
U54-TMA-9_sceneE07_cell1069.0,4.0,,
U54-TMA-9_sceneE07_cell3102.0,,,0.0
U54-TMA-9_sceneE07_cell5194.0,,,0.0
U54-TMA-9_sceneE09_cell798.0,1.0,,
U54-TMA-9_sceneE09_cell841.0,6.0,,
U54-TMA-9_sceneE09_cell1075.0,5.0,,
U54-TMA-9_sceneE09_cell1648.0,2.0,,
U54-TMA-9_sceneE09_cell1909.0,4.0,,
U54-TMA-9_sceneE09_cell2007.0,1.0,,
U54-TMA-9_sceneE09_cell2171.0,0.0,,
U54-TMA-9_sceneE09_cell2178.0,5.0,,
U54-TMA-9_sceneE09_cell2355.0,3.0,,
U54-TMA-9_sceneE09_cell2475.0,1.0,,
U54-TMA-9_sceneE09_cell2661.0,7.0,,
U54-TMA-9_sceneE09_cell2781.0,8.0,,
U54-TMA-9_sceneE09_cell2797.0,1.0,,
U54-TMA-9_sceneE09_cell2904.0,2.0,,
U54-TMA-9_sceneE09_cell2977.0,4.0,,
U54-TMA-9_sceneE09_cell3315.0,1.0,,
U54-TMA-9_sceneE09_cell3605.0,,0.0,
U54-TMA-9_sceneE09_cell3859.0,1.0,,
U54-TMA-9_sceneE09_cell3967.0,7.0,,
U54-TMA-9_sceneE09_cell4448.0,1.0,,
U54-TMA-9_sceneE09_cell4451.0,0.0,,
U54-TMA-9_sceneE09_cell4628.0,3.0,,
U54-TMA-9_sceneE09_cell4966.0,1.0,,
U54-TMA-9_sceneE09_cell5026.0,4.0,,
U54-TMA-9_sceneE09_cell5451.0,0.0,,
U54-TMA-9_sceneE09_cell6300.0,5.0,,
U54-TMA-9_sceneE10_cell167.0,,0.0,
U54-TMA-9_sceneE10_cell172.0,,0.0,
U54-TMA-9_sceneE10_cell178.0,,0.0,
U54-TMA-9_sceneE10_cell208.0,2.0,,
U54-TMA-9_sceneE10_cell258.0,1.0,,
U54-TMA-9_sceneE10_cell314.0,1.0,,
U54-TMA-9_sceneE10_cell320.0,3.0,,
U54-TMA-9_sceneE10_cell326.0,0.0,,
U54-TMA-9_sceneE10_cell402.0,,0.0,
U54-TMA-9_sceneE10_cell418.0,1.0,,
U54-TMA-9_sceneE10_cell571.0,1.0,,
U54-TMA-9_sceneE10_cell605.0,1.0,,
U54-TMA-9_sceneE10_cell641.0,0.0,,
U54-TMA-9_sceneE10_cell664.0,,0.0,
U54-TMA-9_sceneE10_cell694.0,,0.0,
U54-TMA-9_sceneE10_cell698.0,1.0,,
U54-TMA-9_sceneE10_cell699.0,2.0,,
U54-TMA-9_sceneE10_cell708.0,,0.0,
U54-TMA-9_sceneE10_cell748.0,,0.0,
U54-TMA-9_sceneE10_cell766.0,0.0,,
U54-TMA-9_sceneE10_cell777.0,,0.0,
U54-TMA-9_sceneE10_cell784.0,5.0,,
U54-TMA-9_sceneE10_cell788.0,,0.0,
U54-TMA-9_sceneE10_cell817.0,,0.0,
U54-TMA-9_sceneE10_cell835.0,,2.0,
U54-TMA-9_sceneE10_cell862.0,,4.0,
U54-TMA-9_sceneE10_cell885.0,,0.0,
U54-TMA-9_sceneE10_cell1014.0,0.0,1.0,
U54-TMA-9_sceneE10_cell1021.0,,0.0,
U54-TMA-9_sceneE10_cell1024.0,,0.0,
U54-TMA-9_sceneE10_cell1057.0,,2.0,
U54-TMA-9_sceneE10_cell1060.0,5.0,5.0,
U54-TMA-9_sceneE10_cell1084.0,,0.0,
U54-TMA-9_sceneE10_cell1091.0,,0.0,
U54-TMA-9_sceneE10_cell1205.0,,0.0,
U54-TMA-9_sceneE10_cell1235.0,,0.0,
U54-TMA-9_sceneE10_cell1315.0,2.0,,
U54-TMA-9_sceneE10_cell1323.0,1.0,,
U54-TMA-9_sceneE10_cell1350.0,1.0,0.0,
U54-TMA-9_sceneE10_cell1432.0,,0.0,
U54-TMA-9_sceneE10_cell1454.0,0.0,,
U54-TMA-9_sceneE10_cell1489.0,3.0,,
U54-TMA-9_sceneE10_cell1616.0,7.0,,
U54-TMA-9_sceneE10_cell1737.0,,0.0,
U54-TMA-9_sceneE10_cell1809.0,11.0,3.0,
U54-TMA-9_sceneE10_cell1855.0,3.0,,
U54-TMA-9_sceneE10_cell1877.0,1.0,,
U54-TMA-9_sceneE10_cell1981.0,1.0,,
U54-TMA-9_sceneE10_cell2046.0,,2.0,
U54-TMA-9_sceneE10_cell2082.0,1.0,,
U54-TMA-9_sceneE10_cell2112.0,3.0,12.0,
U54-TMA-9_sceneE10_cell2232.0,2.0,,
U54-TMA-9_sceneE10_cell2239.0,,,0.0
U54-TMA-9_sceneE10_cell2355.0,0.0,,
U54-TMA-9_sceneE10_cell2406.0,,3.0,
U54-TMA-9_sceneE10_cell2424.0,,0.0,
U54-TMA-9_sceneE10_cell2435.0,2.0,,
U54-TMA-9_sceneE10_cell2535.0,,6.0,
U54-TMA-9_sceneE10_cell2945.0,0.0,,
U54-TMA-9_sceneE10_cell3317.0,,0.0,
U54-TMA-9_sceneE10_cell3324.0,,0.0,
U54-TMA-9_sceneE10_cell3361.0,,2.0,
U54-TMA-9_sceneE10_cell3567.0,,,0.0
U54-TMA-9_sceneE10_cell3606.0,,,0.0
U54-TMA-9_sceneE10_cell4012.0,1.0,,
U54-TMA-9_sceneE10_cell4134.0,1.0,,
U54-TMA-9_sceneE10_cell4894.0,4.0,,
U54-TMA-9_sceneE10_cell5306.0,,0.0,
U54-TMA-9_sceneE10_cell5570.0,1.0,,
U54-TMA-9_sceneE10_cell5591.0,15.0,8.0,
U54-TMA-9_sceneE10_cell5705.0,7.0,,
U54-TMA-9_sceneE10_cell5763.0,,,0.0
U54-TMA-9_sceneE10_cell5787.0,,0.0,
U54-TMA-9_sceneE10_cell5815.0,,,0.0
U54-TMA-9_sceneE10_cell5859.0,,,0.0
U54-TMA-9_sceneE10_cell5877.0,,0.0,
U54-TMA-9_sceneE10_cell5959.0,,,0.0
U54-TMA-9_sceneE11_cell27.0,0.0,,1.0
U54-TMA-9_sceneE11_cell45.0,0.0,,
U54-TMA-9_sceneE11_cell93.0,1.0,,
U54-TMA-9_sceneE11_cell97.0,,0.0,
U54-TMA-9_sceneE11_cell101.0,1.0,,
U54-TMA-9_sceneE11_cell105.0,,0.0,
U54-TMA-9_sceneE11_cell113.0,1.0,0.0,
U54-TMA-9_sceneE11_cell271.0,,0.0,
U54-TMA-9_sceneE11_cell275.0,,0.0,
U54-TMA-9_sceneE11_cell299.0,,0.0,
U54-TMA-9_sceneE11_cell487.0,,0.0,
U54-TMA-9_sceneE11_cell503.0,1.0,,
U54-TMA-9_sceneE11_cell507.0,2.0,,
U54-TMA-9_sceneE11_cell535.0,1.0,,
U54-TMA-9_sceneE11_cell540.0,2.0,,
U54-TMA-9_sceneE11_cell642.0,1.0,,
U54-TMA-9_sceneE11_cell899.0,1.0,,
U54-TMA-9_sceneE11_cell1013.0,0.0,,
U54-TMA-9_sceneE11_cell1029.0,4.0,,
U54-TMA-9_sceneE11_cell1158.0,,,0.0
U54-TMA-9_sceneE11_cell1197.0,2.0,,
U54-TMA-9_sceneE11_cell1224.0,1.0,,
U54-TMA-9_sceneE11_cell1234.0,,,0.0
U54-TMA-9_sceneE11_cell1297.0,2.0,,
U54-TMA-9_sceneE11_cell1308.0,1.0,,
U54-TMA-9_sceneE11_cell1344.0,,,0.0
U54-TMA-9_sceneE11_cell1351.0,0.0,,
U54-TMA-9_sceneE11_cell1374.0,1.0,,
U54-TMA-9_sceneE11_cell1493.0,3.0,,
U54-TMA-9_sceneE11_cell1542.0,2.0,,
U54-TMA-9_sceneE11_cell1677.0,,,0.0
U54-TMA-9_sceneE11_cell1780.0,,,1.0
U54-TMA-9_sceneE11_cell1836.0,1.0,,
U54-TMA-9_sceneE11_cell2150.0,1.0,,
U54-TMA-9_sceneE11_cell2180.0,,0.0,
U54-TMA-9_sceneE11_cell2427.0,2.0,,
U54-TMA-9_sceneE11_cell2472.0,,,1.0
U54-TMA-9_sceneE11_cell2504.0,2.0,,
U54-TMA-9_sceneE11_cell2530.0,5.0,,
U54-TMA-9_sceneE11_cell2593.0,1.0,,
U54-TMA-9_sceneE11_cell2761.0,0.0,,
U54-TMA-9_sceneE11_cell2949.0,,,0.0
U54-TMA-9_sceneE11_cell2998.0,,,0.0
U54-TMA-9_sceneE11_cell3040.0,,,0.0
U54-TMA-9_sceneE11_cell3172.0,1.0,0.0,
U54-TMA-9_sceneE11_cell3225.0,0.0,0.0,
U54-TMA-9_sceneE11_cell3289.0,1.0,,
U54-TMA-9_sceneE11_cell3422.0,0.0,,
U54-TMA-9_sceneE11_cell3434.0,1.0,,
U54-TMA-9_sceneE11_cell3465.0,1.0,,
U54-TMA-9_sceneE11_cell3468.0,1.0,,
U54-TMA-9_sceneE11_cell3486.0,0.0,,
U54-TMA-9_sceneE11_cell3501.0,,,1.0
U54-TMA-9_sceneE11_cell3559.0,,,0.0
U54-TMA-9_sceneE11_cell3584.0,1.0,,
U54-TMA-9_sceneE11_cell3639.0,1.0,,
U54-TMA-9_sceneE11_cell3694.0,1.0,,
U54-TMA-9_sceneE11_cell3711.0,1.0,,
U54-TMA-9_sceneE11_cell3832.0,1.0,,
U54-TMA-9_sceneE11_cell3874.0,1.0,0.0,
U54-TMA-9_sceneE11_cell3887.0,2.0,,
U54-TMA-9_sceneE11_cell3963.0,0.0,,
U54-TMA-9_sceneE11_cell4067.0,,,0.0
U54-TMA-9_sceneE11_cell4152.0,,,0.0
U54-TMA-9_sceneE11_cell4203.0,2.0,,
U54-TMA-9_sceneE11_cell4299.0,3.0,,
U54-TMA-9_sceneE11_cell4314.0,0.0,,
U54-TMA-9_sceneE11_cell4339.0,,,1.0
U54-TMA-9_sceneE11_cell4511.0,3.0,,
U54-TMA-9_sceneE11_cell4539.0,0.0,,
U54-TMA-9_sceneE11_cell4541.0,0.0,,
U54-TMA-9_sceneE11_cell4548.0,0.0,,
U54-TMA-9_sceneE11_cell4574.0,,,0.0
U54-TMA-9_sceneE11_cell4585.0,1.0,,
U54-TMA-9_sceneE11_cell4691.0,2.0,,
U54-TMA-9_sceneE11_cell4706.0,1.0,,
U54-TMA-9_sceneE11_cell4739.0,1.0,,
U54-TMA-9_sceneE11_cell4974.0,2.0,,
U54-TMA-9_sceneE11_cell5003.0,2.0,,
U54-TMA-9_sceneE11_cell5038.0,1.0,,
U54-TMA-9_sceneE11_cell5076.0,1.0,,
U54-TMA-9_sceneE11_cell5109.0,0.0,,
U54-TMA-9_sceneE11_cell5142.0,2.0,,
U54-TMA-9_sceneE11_cell5146.0,0.0,,
U54-TMA-9_sceneE11_cell5256.0,2.0,,
U54-TMA-9_sceneE11_cell5298.0,2.0,,
U54-TMA-9_sceneE11_cell5323.0,3.0,,
U54-TMA-9_sceneE11_cell5326.0,1.0,,
U54-TMA-9_sceneE11_cell5345.0,2.0,,
U54-TMA-9_sceneE11_cell5346.0,1.0,,
U54-TMA-9_sceneE11_cell5359.0,1.0,,
U54-TMA-9_sceneE11_cell5374.0,0.0,,
U54-TMA-9_sceneE11_cell5378.0,2.0,,
U54-TMA-9_sceneE11_cell5384.0,3.0,,
U54-TMA-9_sceneE11_cell5426.0,1.0,,
U54-TMA-9_sceneE11_cell5433.0,1.0,,
U54-TMA-9_sceneE11_cell5452.0,5.0,,
U54-TMA-9_sceneE11_cell5507.0,0.0,,
U54-TMA-9_sceneE11_cell5539.0,,,1.0
U54-TMA-9_sceneE11_cell5551.0,,,2.0
U54-TMA-9_sceneE11_cell5561.0,,,1.0
U54-TMA-9_sceneE11_cell5564.0,,,0.0
U54-TMA-9_sceneE11_cell5634.0,,,1.0
U54-TMA-9_sceneE11_cell5691.0,,,0.0
U54-TMA-9_sceneE11_cell5698.0,0.0,,
U54-TMA-9_sceneE11_cell5740.0,0.0,,
U54-TMA-9_sceneE11_cell5969.0,,0.0,
U54-TMA-9_sceneE11_cell6051.0,,0.0,
U54-TMA-9_sceneE11_cell6470.0,1.0,,
U54-TMA-9_sceneE11_cell6510.0,6.0,,
U54-TMA-9_sceneE11_cell6619.0,3.0,,
U54-TMA-9_sceneE11_cell6625.0,,,1.0
U54-TMA-9_sceneE11_cell6773.0,,0.0,
U54-TMA-9_sceneE11_cell6838.0,,,1.0
U54-TMA-9_sceneE11_cell6858.0,5.0,,
U54-TMA-9_sceneE11_cell6935.0,0.0,,
U54-TMA-9_sceneE11_cell6957.0,2.0,,
U54-TMA-9_sceneE11_cell6972.0,2.0,,
U54-TMA-9_sceneE11_cell7005.0,1.0,,
U54-TMA-9_sceneE11_cell7019.0,1.0,,
U54-TMA-9_sceneE11_cell7035.0,0.0,,
U54-TMA-9_sceneE11_cell7085.0,2.0,,
U54-TMA-9_sceneE11_cell7132.0,,0.0,
U54-TMA-9_sceneE11_cell7186.0,2.0,,
U54-TMA-9_sceneE11_cell7195.0,,0.0,
U54-TMA-9_sceneE11_cell7246.0,,,0.0
U54-TMA-9_sceneE11_cell7265.0,0.0,,
U54-TMA-9_sceneE11_cell7332.0,6.0,,
U54-TMA-9_sceneE11_cell7393.0,1.0,,
U54-TMA-9_sceneE11_cell7426.0,,0.0,
U54-TMA-9_sceneE11_cell7499.0,,,1.0
U54-TMA-9_sceneE11_cell7643.0,1.0,,
U54-TMA-9_sceneE11_cell7698.0,2.0,,
U54-TMA-9_sceneE11_cell7752.0,0.0,,
U54-TMA-9_sceneE11_cell7758.0,1.0,,
U54-TMA-9_sceneE11_cell7776.0,0.0,,
U54-TMA-9_sceneE11_cell7788.0,1.0,,
U54-TMA-9_sceneE11_cell7865.0,3.0,,
U54-TMA-9_sceneE11_cell7917.0,2.0,,
U54-TMA-9_sceneE11_cell8002.0,,,0.0
U54-TMA-9_sceneE11_cell8011.0,2.0,,
U54-TMA-9_sceneE11_cell8065.0,,,2.0
U54-TMA-9_sceneE11_cell8165.0,2.0,,
U54-TMA-9_sceneE11_cell8236.0,,,0.0
U54-TMA-9_sceneE11_cell8353.0,3.0,,
U54-TMA-9_sceneE11_cell8455.0,4.0,,
U54-TMA-9_sceneE11_cell8652.0,1.0,,
U54-TMA-9_sceneE11_cell8694.0,,,0.0
U54-TMA-9_sceneE11_cell8711.0,1.0,,
U54-TMA-9_sceneE11_cell8785.0,1.0,,
U54-TMA-9_sceneE11_cell8954.0,2.0,,
U54-TMA-9_sceneE11_cell9335.0,,,0.0
U54-TMA-9_sceneE11_cell9429.0,,,0.0
U54-TMA-9_sceneE11_cell9584.0,,,0.0
U54-TMA-9_sceneE11_cell9810.0,,,0.0
U54-TMA-9_sceneE11_cell9959.0,,,0.0
U54-TMA-9_sceneE12_cell972.0,1.0,,
U54-TMA-9_sceneE12_cell1835.0,,,0.0
U54-TMA-9_sceneE12_cell1908.0,,,0.0
U54-TMA-9_sceneE12_cell2013.0,,,0.0
U54-TMA-9_sceneE12_cell2034.0,,,0.0
U54-TMA-9_sceneE12_cell2060.0,,,0.0
U54-TMA-9_sceneE12_cell2259.0,,,1.0
U54-TMA-9_sceneE12_cell2336.0,,,1.0
U54-TMA-9_sceneE12_cell4752.0,,0.0,
U54-TMA-9_sceneE12_cell4782.0,,0.0,
U54-TMA-9_sceneE12_cell4882.0,,0.0,
U54-TMA-9_sceneE12_cell4986.0,,0.0,
U54-TMA-9_sceneE12_cell7134.0,,0.0,
U54-TMA-9_sceneE12_cell7151.0,,0.0,
U54-TMA-9_sceneE12_cell7315.0,,0.0,
U54-TMA-9_sceneE12_cell7319.0,,0.0,
U54-TMA-9_sceneE12_cell7325.0,,0.0,
U54-TMA-9_sceneE12_cell7328.0,,0.0,
U54-TMA-9_sceneE12_cell7342.0,,0.0,
U54-TMA-9_sceneE12_cell7351.0,,0.0,
U54-TMA-9_sceneF02_cell38.0,1.0,,
U54-TMA-9_sceneF02_cell67.0,,0.0,
U54-TMA-9_sceneF02_cell137.0,,0.0,
U54-TMA-9_sceneF02_cell158.0,,0.0,
U54-TMA-9_sceneF02_cell201.0,,1.0,
U54-TMA-9_sceneF02_cell205.0,,0.0,
U54-TMA-9_sceneF02_cell210.0,,0.0,
U54-TMA-9_sceneF02_cell245.0,,0.0,
U54-TMA-9_sceneF02_cell308.0,,0.0,
U54-TMA-9_sceneF02_cell325.0,1.0,,
U54-TMA-9_sceneF02_cell329.0,,0.0,
U54-TMA-9_sceneF02_cell355.0,,0.0,
U54-TMA-9_sceneF02_cell387.0,,0.0,
U54-TMA-9_sceneF02_cell427.0,,0.0,
U54-TMA-9_sceneF02_cell430.0,,0.0,
U54-TMA-9_sceneF02_cell494.0,,0.0,
U54-TMA-9_sceneF02_cell510.0,,0.0,
U54-TMA-9_sceneF02_cell547.0,,0.0,
U54-TMA-9_sceneF02_cell607.0,,1.0,
U54-TMA-9_sceneF02_cell667.0,,0.0,
U54-TMA-9_sceneF02_cell703.0,,0.0,
U54-TMA-9_sceneF02_cell739.0,,0.0,
U54-TMA-9_sceneF02_cell771.0,,2.0,
U54-TMA-9_sceneF02_cell779.0,,1.0,
U54-TMA-9_sceneF02_cell808.0,,0.0,
U54-TMA-9_sceneF02_cell832.0,,0.0,
U54-TMA-9_sceneF02_cell845.0,,0.0,
U54-TMA-9_sceneF02_cell849.0,,0.0,
U54-TMA-9_sceneF02_cell852.0,,0.0,
U54-TMA-9_sceneF02_cell888.0,,1.0,
U54-TMA-9_sceneF02_cell894.0,,0.0,
U54-TMA-9_sceneF02_cell905.0,,0.0,
U54-TMA-9_sceneF02_cell975.0,,0.0,
U54-TMA-9_sceneF02_cell1020.0,,0.0,
U54-TMA-9_sceneF02_cell1027.0,,0.0,
U54-TMA-9_sceneF02_cell1028.0,,0.0,
U54-TMA-9_sceneF02_cell1058.0,,0.0,
U54-TMA-9_sceneF02_cell1067.0,,0.0,
U54-TMA-9_sceneF02_cell1080.0,,0.0,
U54-TMA-9_sceneF02_cell1082.0,,1.0,
U54-TMA-9_sceneF02_cell1086.0,,0.0,
U54-TMA-9_sceneF02_cell1103.0,,0.0,
U54-TMA-9_sceneF02_cell1107.0,,0.0,
