,gH2AX_foci,pRPA_foci,RAD51_foci
U54-TMA-9_sceneA05_cell4204.0,0.0,,
U54-TMA-9_sceneA05_cell4419.0,2.0,,
U54-TMA-9_sceneA05_cell4450.0,0.0,,
U54-TMA-9_sceneA05_cell4718.0,2.0,,
U54-TMA-9_sceneA05_cell4736.0,0.0,,
U54-TMA-9_sceneA05_cell4754.0,1.0,,
U54-TMA-9_sceneA05_cell4771.0,0.0,,
U54-TMA-9_sceneA05_cell4823.0,0.0,,
U54-TMA-9_sceneA05_cell4829.0,3.0,,
U54-TMA-9_sceneA05_cell4967.0,2.0,,
U54-TMA-9_sceneA05_cell4988.0,4.0,1.0,
U54-TMA-9_sceneA05_cell5171.0,1.0,,
U54-TMA-9_sceneA05_cell5256.0,4.0,,
U54-TMA-9_sceneA05_cell5295.0,1.0,,
U54-TMA-9_sceneA05_cell5497.0,2.0,,
U54-TMA-9_sceneA05_cell5595.0,0.0,,
U54-TMA-9_sceneA05_cell5609.0,1.0,,
U54-TMA-9_sceneA05_cell5622.0,0.0,,
U54-TMA-9_sceneA05_cell5840.0,6.0,,
U54-TMA-9_sceneA05_cell5892.0,1.0,,
U54-TMA-9_sceneA05_cell5903.0,1.0,,
U54-TMA-9_sceneA05_cell5993.0,3.0,,
U54-TMA-9_sceneA05_cell6057.0,4.0,1.0,
U54-TMA-9_sceneA05_cell6109.0,1.0,,
U54-TMA-9_sceneA05_cell6127.0,1.0,,
U54-TMA-9_sceneA05_cell6192.0,1.0,,
U54-TMA-9_sceneA05_cell6258.0,3.0,,
U54-TMA-9_sceneA05_cell6423.0,2.0,,
U54-TMA-9_sceneA05_cell6456.0,2.0,,
U54-TMA-9_sceneA05_cell6508.0,1.0,,
U54-TMA-9_sceneA05_cell6656.0,1.0,,
U54-TMA-9_sceneA05_cell6727.0,1.0,,
U54-TMA-9_sceneA05_cell6837.0,1.0,,
U54-TMA-9_sceneA05_cell6863.0,11.0,0.0,
U54-TMA-9_sceneA05_cell6896.0,3.0,,
U54-TMA-9_sceneA05_cell6986.0,2.0,,
U54-TMA-9_sceneA05_cell7047.0,0.0,,
U54-TMA-9_sceneA05_cell7098.0,1.0,,
U54-TMA-9_sceneA05_cell7104.0,1.0,,
U54-TMA-9_sceneA05_cell7358.0,1.0,,
U54-TMA-9_sceneA05_cell7376.0,1.0,,
U54-TMA-9_sceneA05_cell7383.0,1.0,,
U54-TMA-9_sceneA05_cell7623.0,2.0,,
U54-TMA-9_sceneA05_cell7631.0,1.0,,
U54-TMA-9_sceneA05_cell7636.0,1.0,,
U54-TMA-9_sceneA05_cell7655.0,2.0,,
U54-TMA-9_sceneA05_cell7825.0,1.0,,
U54-TMA-9_sceneA05_cell7935.0,1.0,,
U54-TMA-9_sceneA07_cell32.0,1.0,,
U54-TMA-9_sceneA07_cell217.0,2.0,,
U54-TMA-9_sceneA07_cell254.0,0.0,,
U54-TMA-9_sceneA07_cell289.0,1.0,,
U54-TMA-9_sceneA07_cell323.0,1.0,,
U54-TMA-9_sceneA07_cell329.0,2.0,,
U54-TMA-9_sceneA07_cell628.0,1.0,,
U54-TMA-9_sceneA07_cell791.0,0.0,,
U54-TMA-9_sceneA07_cell810.0,2.0,,
U54-TMA-9_sceneA07_cell823.0,0.0,,
U54-TMA-9_sceneA07_cell834.0,0.0,,
U54-TMA-9_sceneA07_cell852.0,2.0,,
U54-TMA-9_sceneA07_cell854.0,0.0,,
U54-TMA-9_sceneA07_cell862.0,0.0,,
U54-TMA-9_sceneA07_cell866.0,3.0,,0.0
U54-TMA-9_sceneA07_cell882.0,0.0,,
U54-TMA-9_sceneA07_cell888.0,0.0,,
U54-TMA-9_sceneA07_cell913.0,0.0,,
U54-TMA-9_sceneA07_cell920.0,0.0,,
U54-TMA-9_sceneA07_cell922.0,0.0,,
U54-TMA-9_sceneA07_cell925.0,1.0,,
U54-TMA-9_sceneA07_cell926.0,5.0,,0.0
U54-TMA-9_sceneA07_cell929.0,0.0,,
U54-TMA-9_sceneA07_cell950.0,0.0,,
U54-TMA-9_sceneA07_cell1179.0,1.0,,0.0
U54-TMA-9_sceneA07_cell1215.0,2.0,,
U54-TMA-9_sceneA07_cell1247.0,6.0,,
U54-TMA-9_sceneA07_cell1262.0,2.0,,
U54-TMA-9_sceneA07_cell1275.0,0.0,,
U54-TMA-9_sceneA07_cell1279.0,2.0,,
U54-TMA-9_sceneA07_cell1280.0,0.0,,
U54-TMA-9_sceneA07_cell1282.0,0.0,,
U54-TMA-9_sceneA07_cell1288.0,1.0,,
U54-TMA-9_sceneA07_cell1330.0,1.0,,
U54-TMA-9_sceneA07_cell1344.0,0.0,,
U54-TMA-9_sceneA07_cell1361.0,0.0,,0.0
U54-TMA-9_sceneA07_cell1421.0,0.0,,0.0
U54-TMA-9_sceneA07_cell1453.0,0.0,,
U54-TMA-9_sceneA07_cell1456.0,0.0,,
U54-TMA-9_sceneA07_cell1794.0,0.0,,
U54-TMA-9_sceneA07_cell2049.0,0.0,,
U54-TMA-9_sceneA07_cell2275.0,2.0,,
U54-TMA-9_sceneA07_cell2323.0,0.0,,
U54-TMA-9_sceneA07_cell2929.0,1.0,,
U54-TMA-9_sceneA07_cell2933.0,2.0,,
U54-TMA-9_sceneA07_cell2945.0,1.0,,
U54-TMA-9_sceneA07_cell2947.0,4.0,1.0,
U54-TMA-9_sceneA07_cell2948.0,2.0,,
U54-TMA-9_sceneA07_cell2954.0,3.0,,
U54-TMA-9_sceneA07_cell2956.0,0.0,,
U54-TMA-9_sceneA07_cell2970.0,0.0,,
U54-TMA-9_sceneA07_cell2971.0,0.0,,
U54-TMA-9_sceneA07_cell2973.0,1.0,,
U54-TMA-9_sceneA07_cell2983.0,0.0,,
U54-TMA-9_sceneA07_cell2988.0,0.0,,
U54-TMA-9_sceneA07_cell2996.0,1.0,,
U54-TMA-9_sceneA07_cell2997.0,0.0,,
U54-TMA-9_sceneA07_cell3004.0,4.0,,
U54-TMA-9_sceneA07_cell3008.0,0.0,,
U54-TMA-9_sceneA07_cell3010.0,5.0,,0.0
U54-TMA-9_sceneA07_cell3014.0,1.0,,
U54-TMA-9_sceneA07_cell3017.0,1.0,,
U54-TMA-9_sceneA07_cell3023.0,0.0,,
U54-TMA-9_sceneA07_cell3126.0,0.0,,
U54-TMA-9_sceneA07_cell3185.0,0.0,,
U54-TMA-9_sceneA07_cell3190.0,1.0,,
U54-TMA-9_sceneA07_cell3232.0,0.0,,
U54-TMA-9_sceneA07_cell3242.0,0.0,,
U54-TMA-9_sceneA07_cell3245.0,0.0,,
U54-TMA-9_sceneA07_cell3256.0,3.0,,
U54-TMA-9_sceneA07_cell3274.0,1.0,,
U54-TMA-9_sceneA07_cell3283.0,0.0,,
U54-TMA-9_sceneA07_cell3289.0,1.0,,
U54-TMA-9_sceneA07_cell3302.0,0.0,,
U54-TMA-9_sceneA07_cell3330.0,14.0,,
U54-TMA-9_sceneA07_cell3335.0,0.0,,
U54-TMA-9_sceneA07_cell3346.0,0.0,,
U54-TMA-9_sceneA07_cell3349.0,0.0,,
U54-TMA-9_sceneA07_cell3350.0,1.0,,
U54-TMA-9_sceneA07_cell3351.0,6.0,,
U54-TMA-9_sceneA07_cell3355.0,0.0,,
U54-TMA-9_sceneA07_cell3360.0,3.0,,
U54-TMA-9_sceneA07_cell3364.0,1.0,,
U54-TMA-9_sceneA07_cell3367.0,0.0,,
U54-TMA-9_sceneA07_cell3371.0,0.0,,
U54-TMA-9_sceneA07_cell3378.0,0.0,,
U54-TMA-9_sceneA07_cell3380.0,0.0,,
U54-TMA-9_sceneA07_cell3381.0,1.0,,
U54-TMA-9_sceneA07_cell3382.0,0.0,,
U54-TMA-9_sceneA07_cell3384.0,5.0,,
U54-TMA-9_sceneA07_cell3392.0,0.0,,0.0
U54-TMA-9_sceneA07_cell3394.0,0.0,,
U54-TMA-9_sceneA07_cell3395.0,1.0,,
U54-TMA-9_sceneA07_cell3399.0,0.0,,
U54-TMA-9_sceneA07_cell3400.0,0.0,,
U54-TMA-9_sceneA07_cell3401.0,0.0,,
U54-TMA-9_sceneA07_cell3402.0,0.0,,
U54-TMA-9_sceneA07_cell3405.0,0.0,,
U54-TMA-9_sceneA07_cell3409.0,0.0,,
U54-TMA-9_sceneA07_cell3412.0,9.0,,
U54-TMA-9_sceneA07_cell3417.0,0.0,,
U54-TMA-9_sceneA07_cell3419.0,0.0,,
U54-TMA-9_sceneA07_cell3424.0,2.0,,
U54-TMA-9_sceneA07_cell3425.0,0.0,,
U54-TMA-9_sceneA07_cell3426.0,0.0,,
U54-TMA-9_sceneA07_cell3429.0,0.0,,
U54-TMA-9_sceneA07_cell3431.0,3.0,,
U54-TMA-9_sceneA07_cell3433.0,0.0,,
U54-TMA-9_sceneA07_cell3434.0,0.0,,
U54-TMA-9_sceneA07_cell3435.0,10.0,,
U54-TMA-9_sceneA07_cell3438.0,0.0,,
U54-TMA-9_sceneA07_cell3439.0,0.0,,
U54-TMA-9_sceneA07_cell3444.0,1.0,,
U54-TMA-9_sceneA07_cell3445.0,0.0,,
U54-TMA-9_sceneA07_cell3447.0,0.0,,
U54-TMA-9_sceneA07_cell3450.0,0.0,,
U54-TMA-9_sceneA07_cell3453.0,3.0,,
U54-TMA-9_sceneA07_cell3454.0,0.0,,
U54-TMA-9_sceneA07_cell3455.0,2.0,,
U54-TMA-9_sceneA07_cell3457.0,0.0,,
U54-TMA-9_sceneA07_cell3460.0,0.0,,
U54-TMA-9_sceneA07_cell3461.0,0.0,,
U54-TMA-9_sceneA07_cell3462.0,0.0,,
U54-TMA-9_sceneA07_cell3468.0,2.0,,
U54-TMA-9_sceneA07_cell3470.0,0.0,,
U54-TMA-9_sceneA07_cell3471.0,0.0,,
U54-TMA-9_sceneA07_cell3474.0,0.0,,
U54-TMA-9_sceneA07_cell3477.0,0.0,,
U54-TMA-9_sceneA07_cell3478.0,3.0,,
U54-TMA-9_sceneA07_cell3480.0,0.0,,
U54-TMA-9_sceneA07_cell3481.0,0.0,,
U54-TMA-9_sceneA07_cell3486.0,0.0,,
U54-TMA-9_sceneA07_cell3487.0,1.0,,
U54-TMA-9_sceneA07_cell3488.0,2.0,,
U54-TMA-9_sceneA07_cell3490.0,1.0,,
U54-TMA-9_sceneA07_cell3495.0,0.0,,
U54-TMA-9_sceneA07_cell3500.0,0.0,,0.0
U54-TMA-9_sceneA07_cell3501.0,0.0,,
U54-TMA-9_sceneA07_cell3502.0,1.0,,
U54-TMA-9_sceneA07_cell3506.0,1.0,,1.0
U54-TMA-9_sceneA07_cell3509.0,0.0,,0.0
U54-TMA-9_sceneA07_cell3511.0,0.0,,
U54-TMA-9_sceneA07_cell3512.0,2.0,,
U54-TMA-9_sceneA07_cell3513.0,0.0,,
U54-TMA-9_sceneA07_cell3514.0,2.0,,
U54-TMA-9_sceneA07_cell3517.0,0.0,,
U54-TMA-9_sceneA07_cell3522.0,0.0,,
U54-TMA-9_sceneA07_cell3523.0,0.0,,
U54-TMA-9_sceneA07_cell3525.0,6.0,,
U54-TMA-9_sceneA07_cell3528.0,0.0,,
U54-TMA-9_sceneA07_cell3531.0,0.0,,
U54-TMA-9_sceneA07_cell3533.0,0.0,,
